Run started: 2026-03-01T21:49:24
Total params: 4,165,985 (15.89 MB)
Trainable params: 4,165,985 (15.89 MB)
Non-trainable params: 0 (0.00 B)
--------------------------------------------------------------------------------
Training setup | epochs=15 | optimizer=AdamW(lr=3e-4, weight_decay=1e-5)
step=17100 train_batch_loss=0.3873
step=17200 train_batch_loss=0.3620
step=17300 train_batch_loss=0.1528
step=17400 train_batch_loss=0.1565
step=17500 train_batch_loss=0.2162
step=17600 train_batch_loss=0.3543
step=17700 train_batch_loss=0.2379
step=17800 train_batch_loss=0.2958
step=17900 train_batch_loss=0.4124
step=18000 train_batch_loss=0.3741
step=18100 train_batch_loss=0.3396
step=18200 train_batch_loss=0.2920
step=18300 train_batch_loss=0.4097
step=18400 train_batch_loss=0.3253
step=18500 train_batch_loss=0.2979
step=18600 train_batch_loss=0.4431
step=18700 train_batch_loss=0.1637
step=18800 train_batch_loss=0.3397
step=18900 train_batch_loss=0.3196
step=19000 train_batch_loss=0.4495
step=19100 train_batch_loss=0.2361
step=19200 train_batch_loss=0.3420
step=19300 train_batch_loss=0.2640
step=19400 train_batch_loss=0.2803
step=19500 train_batch_loss=0.3435
step=19600 train_batch_loss=0.4452
step=19700 train_batch_loss=0.3148
step=19800 train_batch_loss=0.2407
step=19900 train_batch_loss=0.2193
step=20000 train_batch_loss=0.3119
step=20100 train_batch_loss=0.5854
step=20200 train_batch_loss=0.1749
step=20300 train_batch_loss=0.2764
step=20400 train_batch_loss=0.2461
step=20500 train_batch_loss=0.2361
step=20600 train_batch_loss=0.3586
step=20700 train_batch_loss=0.2686
step=20800 train_batch_loss=0.2302
step=20900 train_batch_loss=0.3233
step=21000 train_batch_loss=0.1805
step=21100 train_batch_loss=0.3041
step=21200 train_batch_loss=0.1663
step=21300 train_batch_loss=0.2025
step=21400 train_batch_loss=0.3109
step=21500 train_batch_loss=0.3646
step=21600 train_batch_loss=0.3754
step=21700 train_batch_loss=0.3282
step=21800 train_batch_loss=0.1633
step=21900 train_batch_loss=0.2549
step=22000 train_batch_loss=0.3675
step=22100 train_batch_loss=0.4256
step=22200 train_batch_loss=0.2503
step=22300 train_batch_loss=0.2205
step=22400 train_batch_loss=0.3685
step=22500 train_batch_loss=0.2786
step=22600 train_batch_loss=0.3975
step=22700 train_batch_loss=0.2481
step=22800 train_batch_loss=0.3496
step=22900 train_batch_loss=0.3277
step=23000 train_batch_loss=0.2697
step=23100 train_batch_loss=0.2061
step=23200 train_batch_loss=0.4419
step=23300 train_batch_loss=0.2835
step=23400 train_batch_loss=0.4761
step=23500 train_batch_loss=0.2305
step=23600 train_batch_loss=0.2514
step=23700 train_batch_loss=0.2786
step=23800 train_batch_loss=0.2049
step=23900 train_batch_loss=0.2507
step=24000 train_batch_loss=0.1390
step=24100 train_batch_loss=0.1990
step=24200 train_batch_loss=0.2632
step=24300 train_batch_loss=0.4098
step=24400 train_batch_loss=0.1807
step=24500 train_batch_loss=0.3167
step=24600 train_batch_loss=0.3760
step=24700 train_batch_loss=0.2819
step=24800 train_batch_loss=0.1648
step=24900 train_batch_loss=0.2480
step=25000 train_batch_loss=0.2925
step=25100 train_batch_loss=0.2686
step=25200 train_batch_loss=0.1431
step=25300 train_batch_loss=0.5993
step=25400 train_batch_loss=0.3119
step=25500 train_batch_loss=0.2163
step=25600 train_batch_loss=0.5229
step=25700 train_batch_loss=0.2320
step=25800 train_batch_loss=0.1451
step=25900 train_batch_loss=0.3133
step=26000 train_batch_loss=0.2131
step=26100 train_batch_loss=0.4136
step=26200 train_batch_loss=0.1495
step=26300 train_batch_loss=0.2679
